shipment_id,dispatch_timestamp,delivered_timestamp,status
SHIP00655,NA,NA,Ready for Dispatch
SHIP00888,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00032,2024-03-15T00:00:00Z,NA,In Transit
SHIP00993,2024-02-03T00:00:00Z,2024-02-08T00:00:00Z,Delivered
SHIP00171,NA,NA,Ready for Dispatch
SHIP00320,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00661,2024-02-24T00:00:00Z,2024-02-29T00:00:00Z,Delivered
SHIP00589,2024-02-13T00:00:00Z,2024-02-18T00:00:00Z,Delivered
SHIP00210,NA,NA,Ready for Dispatch
SHIP00405,2024-02-22T00:00:00Z,2024-02-27T00:00:00Z,Delivered
SHIP00872,NA,NA,Ready for Dispatch
SHIP00609,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00475,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00615,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00739,NA,NA,Ready for Dispatch
SHIP00015,2024-03-15T00:00:00Z,NA,In Transit
SHIP00166,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00022,2024-02-27T00:00:00Z,2024-03-03T00:00:00Z,Delivered
SHIP00863,2024-03-15T00:00:00Z,NA,In Transit
SHIP00626,NA,NA,Ready for Dispatch
SHIP00733,2024-03-15T00:00:00Z,NA,In Transit
SHIP00103,NA,NA,Ready for Dispatch
SHIP00780,NA,NA,Ready for Dispatch
SHIP00775,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00553,NA,NA,Ready for Dispatch
SHIP00138,2024-03-15T00:00:00Z,NA,In Transit
SHIP00497,2024-03-15T00:00:00Z,NA,In Transit
SHIP00587,NA,NA,Ready for Dispatch
SHIP00354,NA,NA,Ready for Dispatch
SHIP00020,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00061,2024-02-18T00:00:00Z,2024-02-23T00:00:00Z,Delivered
SHIP00226,NA,NA,Ready for Dispatch
SHIP00656,NA,NA,Ready for Dispatch
SHIP00100,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00723,2024-03-15T00:00:00Z,NA,In Transit
SHIP00920,2024-03-15T00:00:00Z,NA,In Transit
SHIP00031,2024-02-13T00:00:00Z,2024-02-18T00:00:00Z,Delivered
SHIP00870,NA,NA,Ready for Dispatch
SHIP00300,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00874,2024-02-24T00:00:00Z,2024-02-29T00:00:00Z,Delivered
SHIP00101,2024-02-07T00:00:00Z,2024-02-12T00:00:00Z,Delivered
SHIP00715,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00776,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00575,2024-03-15T00:00:00Z,NA,In Transit
SHIP00297,2024-03-15T00:00:00Z,NA,In Transit
SHIP00719,2024-02-06T00:00:00Z,2024-02-11T00:00:00Z,Delivered
SHIP00439,2024-03-15T00:00:00Z,NA,In Transit
SHIP00569,NA,NA,Ready for Dispatch
SHIP00095,2024-02-26T00:00:00Z,2024-03-02T00:00:00Z,Delivered
SHIP00688,NA,NA,Ready for Dispatch
SHIP00414,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00306,2024-03-15T00:00:00Z,NA,In Transit
SHIP00375,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00372,2024-03-15T00:00:00Z,NA,In Transit
SHIP00160,2024-02-18T00:00:00Z,2024-02-23T00:00:00Z,Delivered
SHIP00828,NA,NA,Ready for Dispatch
SHIP00314,2024-02-12T00:00:00Z,2024-02-17T00:00:00Z,Delivered
SHIP00717,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00726,2024-03-15T00:00:00Z,NA,In Transit
SHIP00767,NA,NA,Ready for Dispatch
SHIP00856,2024-03-15T00:00:00Z,NA,In Transit
SHIP00991,NA,NA,Ready for Dispatch
SHIP00571,NA,NA,Ready for Dispatch
SHIP00458,2024-02-29T00:00:00Z,2024-03-05T00:00:00Z,Delivered
SHIP00084,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00841,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00922,2024-03-15T00:00:00Z,NA,In Transit
SHIP00188,2024-02-04T00:00:00Z,2024-02-09T00:00:00Z,Delivered
SHIP00706,2024-03-15T00:00:00Z,NA,In Transit
SHIP00976,2024-03-15T00:00:00Z,NA,In Transit
SHIP00735,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00024,2024-02-21T00:00:00Z,2024-02-26T00:00:00Z,Delivered
SHIP00681,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00109,NA,NA,Ready for Dispatch
SHIP00965,2024-03-15T00:00:00Z,NA,In Transit
SHIP00728,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00833,2024-02-22T00:00:00Z,2024-02-27T00:00:00Z,Delivered
SHIP00716,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00650,2024-03-15T00:00:00Z,NA,In Transit
SHIP00986,2024-03-15T00:00:00Z,NA,In Transit
SHIP00978,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00391,NA,NA,Ready for Dispatch
SHIP00909,2024-03-15T00:00:00Z,NA,In Transit
SHIP00012,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00040,2024-03-15T00:00:00Z,NA,In Transit
SHIP00860,NA,NA,Ready for Dispatch
SHIP00154,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00763,2024-02-01T00:00:00Z,2024-02-06T00:00:00Z,Delivered
SHIP00752,2024-03-15T00:00:00Z,NA,In Transit
SHIP00691,NA,NA,Ready for Dispatch
SHIP00734,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00158,2024-02-26T00:00:00Z,2024-03-02T00:00:00Z,Delivered
SHIP00677,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00536,2024-02-06T00:00:00Z,2024-02-11T00:00:00Z,Delivered
SHIP00176,2024-02-17T00:00:00Z,2024-02-22T00:00:00Z,Delivered
SHIP00137,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00131,NA,NA,Ready for Dispatch
SHIP00261,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00791,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00312,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00162,2024-02-24T00:00:00Z,2024-02-29T00:00:00Z,Delivered
SHIP00905,2024-02-06T00:00:00Z,2024-02-11T00:00:00Z,Delivered
SHIP00409,2024-02-04T00:00:00Z,2024-02-09T00:00:00Z,Delivered
SHIP00713,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00703,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00286,NA,NA,Ready for Dispatch
SHIP00814,2024-02-12T00:00:00Z,2024-02-17T00:00:00Z,Delivered
SHIP00167,2024-02-29T00:00:00Z,2024-03-05T00:00:00Z,Delivered
SHIP00433,2024-03-15T00:00:00Z,NA,In Transit
SHIP00275,2024-02-21T00:00:00Z,2024-02-26T00:00:00Z,Delivered
SHIP00342,2024-03-15T00:00:00Z,NA,In Transit
SHIP00826,2024-02-19T00:00:00Z,2024-02-24T00:00:00Z,Delivered
SHIP00202,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00418,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00631,2024-02-02T00:00:00Z,2024-02-07T00:00:00Z,Delivered
SHIP00595,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00618,2024-03-15T00:00:00Z,NA,In Transit
SHIP00756,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00494,2024-03-15T00:00:00Z,NA,In Transit
SHIP00170,NA,NA,Ready for Dispatch
SHIP00098,2024-03-15T00:00:00Z,NA,In Transit
SHIP00701,2024-03-15T00:00:00Z,NA,In Transit
SHIP00925,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00840,2024-03-15T00:00:00Z,NA,In Transit
SHIP00971,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00006,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00423,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00837,2024-02-15T00:00:00Z,2024-02-20T00:00:00Z,Delivered
SHIP00954,NA,NA,Ready for Dispatch
SHIP00995,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00257,NA,NA,Ready for Dispatch
SHIP00212,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00018,2024-02-02T00:00:00Z,2024-02-07T00:00:00Z,Delivered
SHIP00559,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00290,NA,NA,Ready for Dispatch
SHIP00987,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00452,NA,NA,Ready for Dispatch
SHIP00078,2024-03-15T00:00:00Z,NA,In Transit
SHIP00779,2024-03-15T00:00:00Z,NA,In Transit
SHIP00152,NA,NA,Ready for Dispatch
SHIP00062,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00942,2024-03-15T00:00:00Z,NA,In Transit
SHIP00622,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00081,2024-03-15T00:00:00Z,NA,In Transit
SHIP00014,NA,NA,Ready for Dispatch
SHIP00108,NA,NA,Ready for Dispatch
SHIP00651,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00385,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00181,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00165,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00526,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00647,2024-03-15T00:00:00Z,NA,In Transit
SHIP00906,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00635,2024-02-22T00:00:00Z,2024-02-27T00:00:00Z,Delivered
SHIP00908,NA,NA,Ready for Dispatch
SHIP00930,NA,NA,Ready for Dispatch
SHIP00770,NA,NA,Ready for Dispatch
SHIP00866,2024-03-15T00:00:00Z,NA,In Transit
SHIP00390,2024-03-15T00:00:00Z,NA,In Transit
SHIP00310,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00361,NA,NA,Ready for Dispatch
SHIP00577,2024-03-15T00:00:00Z,NA,In Transit
SHIP00666,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00238,NA,NA,Ready for Dispatch
SHIP00415,2024-03-15T00:00:00Z,NA,In Transit
SHIP00246,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00867,NA,NA,Ready for Dispatch
SHIP00431,2024-02-29T00:00:00Z,2024-03-05T00:00:00Z,Delivered
SHIP00148,2024-03-15T00:00:00Z,NA,In Transit
SHIP00945,NA,NA,Ready for Dispatch
SHIP00562,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00875,NA,NA,Ready for Dispatch
SHIP00429,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00639,2024-02-29T00:00:00Z,2024-03-05T00:00:00Z,Delivered
SHIP00155,2024-03-15T00:00:00Z,NA,In Transit
SHIP00819,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00983,2024-02-13T00:00:00Z,2024-02-18T00:00:00Z,Delivered
SHIP00616,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00934,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00071,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00710,NA,NA,Ready for Dispatch
SHIP00489,NA,NA,Ready for Dispatch
SHIP00156,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00077,NA,NA,Ready for Dispatch
SHIP00329,2024-03-15T00:00:00Z,NA,In Transit
SHIP00832,2024-03-15T00:00:00Z,NA,In Transit
SHIP00607,2024-03-15T00:00:00Z,NA,In Transit
SHIP00556,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00501,NA,NA,Ready for Dispatch
SHIP00980,2024-02-18T00:00:00Z,2024-02-23T00:00:00Z,Delivered
SHIP00339,2024-02-11T00:00:00Z,2024-02-16T00:00:00Z,Delivered
SHIP00521,NA,NA,Ready for Dispatch
SHIP00117,2024-03-15T00:00:00Z,NA,In Transit
SHIP00227,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00267,2024-02-21T00:00:00Z,2024-02-26T00:00:00Z,Delivered
SHIP00277,2024-02-16T00:00:00Z,2024-02-21T00:00:00Z,Delivered
SHIP00753,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00430,2024-02-03T00:00:00Z,2024-02-08T00:00:00Z,Delivered
SHIP00523,NA,NA,Ready for Dispatch
SHIP00242,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00272,NA,NA,Ready for Dispatch
SHIP00928,2024-02-24T00:00:00Z,2024-02-29T00:00:00Z,Delivered
SHIP00532,NA,NA,Ready for Dispatch
SHIP00030,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00546,NA,NA,Ready for Dispatch
SHIP00758,2024-03-15T00:00:00Z,NA,In Transit
SHIP00907,NA,NA,Ready for Dispatch
SHIP00436,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00215,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00782,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00848,2024-02-16T00:00:00Z,2024-02-21T00:00:00Z,Delivered
SHIP00898,NA,NA,Ready for Dispatch
SHIP00141,2024-02-25T00:00:00Z,2024-03-01T00:00:00Z,Delivered
SHIP00621,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00090,2024-02-27T00:00:00Z,2024-03-03T00:00:00Z,Delivered
SHIP00847,2024-02-15T00:00:00Z,2024-02-20T00:00:00Z,Delivered
SHIP00416,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00997,2024-03-15T00:00:00Z,NA,In Transit
SHIP00398,2024-03-15T00:00:00Z,NA,In Transit
SHIP00228,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00356,NA,NA,Ready for Dispatch
SHIP00260,2024-03-15T00:00:00Z,NA,In Transit
SHIP00330,NA,NA,Ready for Dispatch
SHIP00326,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00599,2024-03-15T00:00:00Z,NA,In Transit
SHIP00864,2024-02-07T00:00:00Z,2024-02-12T00:00:00Z,Delivered
SHIP00746,2024-03-15T00:00:00Z,NA,In Transit
SHIP00331,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00270,2024-03-16T00:00:00Z,NA,Out for Delivery
